entradas,tiempo
60,0.001998
120,0.002484
180,0.003999
240,0.004510
300,0.005473
360,0.005713
420,0.006506
480,0.007000
540,0.008002
600,0.009002
660,0.010527
720,0.010525
780,0.011005
840,0.019003
900,0.013002
960,0.013002
1020,0.014978
1080,0.013526
1140,0.014521
1200,0.015002
1260,0.017001
1320,0.016003
1380,0.017493
1440,0.018519
1500,0.019022
1560,0.019029
1620,0.019004
1680,0.021005
1740,0.021477
1800,0.024538
1860,0.031539
1920,0.028512
1980,0.023494
2040,0.032003
2100,0.025002
2160,0.028005
2220,0.027496
2280,0.045482
2340,0.027529
2400,0.030537
2460,0.031012
2520,0.029538
2580,0.030005
2640,0.033497
2700,0.034003
2760,0.046006
2820,0.032979
2880,0.040000
2940,0.035005
3000,0.034987
3060,0.036005
3120,0.038987
3180,0.037002
3240,0.036540
3300,0.039507
3360,0.039522
3420,0.039499
3480,0.040487
3540,0.045532
3600,0.042481
3660,0.043995
3720,0.043005
3780,0.052006
3840,0.046009
3900,0.046498
3960,0.047002
4020,0.062021
4080,0.045508
4140,0.047006
4200,0.071032
4260,0.050506
4320,0.050997
4380,0.056005
4440,0.051515
4500,0.051026
4560,0.071002
4620,0.053007
4680,0.056007
4740,0.055506
4800,0.054532
4860,0.056532
4920,0.055507
4980,0.057500
5040,0.059002
5100,0.056007
5160,0.060007
5220,0.064516
5280,0.061499
5340,0.061040
5400,0.059982
5460,0.061518
5520,0.075009
5580,0.066506
5640,0.065540
5700,0.077517
5760,0.065034
5820,0.065500
5880,0.082519
5940,0.069005
6000,0.067489
5,0:00:28.267201
5,0:00:15.085278
5,0:01:02.580256
